Timestamp,Student ID,I am happy all the time.,I find beauty in small things.,I am always committed and involved.,I can sleep well as usual.,"I don't feel nervous, anxious or on edge.",I don't become easily annoyed or irritable.,I feel encouraged about the future.,I don't worry constantly about different things.,I don't get tired easily.,I don't feel like a failure.,Score
4/20/2021 18:01:57,1,9,8,6,8,7,7,5,4,7,8,69
4/20/2021 18:02:37,31,8,7,9,7,9,7,7,9,7,6,76
4/20/2021 18:02:54,2,9,9,8,7,7,7,8,8,7,9,79
4/20/2021 18:03:36,32,3,5,2,7,9,7,10,2,5,4,54
4/20/2021 18:03:52,3,6,7,5,4,4,5,7,7,7,6,58
4/20/2021 18:04:14,4,9,8,9,7,6,8,4,6,6,5,68
4/20/2021 18:04:19,33,10,9,10,10,10,9,9,10,10,9,96
4/20/2021 18:04:42,5,5,6,5,5,4,5,6,5,6,7,54
4/20/2021 18:04:54,34,1,3,2,4,3,2,2,3,2,1,23
4/20/2021 18:05:24,6,9,9,10,8,6,4,9,4,6,3,68
4/20/2021 18:05:27,35,7,3,9,2,4,10,3,9,3,6,56
4/20/2021 18:05:53,7,5,3,4,10,4,1,5,4,9,2,47
4/20/2021 18:06:05,36,6,5,6,5,5,6,6,6,7,4,56
4/20/2021 18:07:26,37,8,4,2,3,6,3,9,6,3,8,52
4/20/2021 18:07:28,8,4,6,4,2,8,7,5,7,3,8,54
4/20/2021 18:08:30,38,9,1,2,1,7,5,3,6,3,8,45
4/20/2021 18:09:34,39,8,2,9,2,8,3,9,2,10,2,55
4/20/2021 18:10:05,9,6,4,7,3,7,3,4,5,3,5,47
4/20/2021 18:10:31,10,5,3,2,5,3,4,3,4,3,4,36
4/20/2021 18:11:43,40,8,5,3,5,2,8,2,9,3,4,49
4/20/2021 18:12:04,11,8,4,8,6,4,8,7,6,9,8,68
4/20/2021 18:16:02,12,9,7,8,7,9,7,9,7,8,7,78
4/20/2021 18:16:22,13,2,3,4,3,4,3,4,3,5,3,34
4/20/2021 18:16:47,14,8,6,9,6,3,4,6,4,5,6,57
4/20/2021 18:17:06,41,9,6,8,3,4,4,5,8,6,4,57
4/20/2021 18:17:54,42,3,5,4,8,3,10,3,3,5,3,47
4/20/2021 18:18:30,43,7,2,8,4,1,9,1,8,3,5,48
4/20/2021 18:19:14,44,10,9,8,10,8,9,7,10,7,7,85
4/20/2021 18:19:41,15,8,4,6,3,6,4,6,4,7,5,53
4/20/2021 18:20:11,16,5,4,4,8,6,6,6,5,3,3,50
4/20/2021 18:20:25,45,8,5,9,10,10,9,8,1,10,6,76
4/20/2021 18:20:44,17,2,3,2,5,5,3,5,3,4,5,37
4/20/2021 18:21:13,46,9,1,7,3,6,8,6,6,2,9,57
4/20/2021 18:21:20,18,7,8,6,9,4,5,9,7,6,7,68
4/20/2021 18:21:47,47,2,4,6,4,6,2,1,4,5,2,36
4/20/2021 18:21:54,19,7,9,7,5,7,5,8,6,7,9,70
4/20/2021 18:22:20,20,9,6,7,9,5,3,6,5,7,7,64
4/20/2021 18:22:26,48,8,3,8,5,7,2,8,3,6,3,53
4/20/2021 18:22:47,21,8,7,10,7,6,7,6,7,6,7,71
4/20/2021 18:23:08,49,6,7,5,5,4,6,4,7,5,4,53
4/20/2021 18:23:09,22,5,4,6,7,5,4,5,3,4,6,49
